"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-08-17,"ARI","Gila",FALSE,FALSE,0,54018
2020-08-18,"ARI","Gila",FALSE,FALSE,14,54018
2020-08-19,"ARI","Gila",FALSE,FALSE,5,54018
2020-08-20,"ARI","Gila",FALSE,FALSE,12,54018
2020-08-21,"ARI","Gila",FALSE,FALSE,27,54018
2020-08-22,"ARI","Gila",FALSE,FALSE,14,54018
2020-08-23,"ARI","Gila",FALSE,FALSE,0,54018
2020-08-24,"ARI","Gila",FALSE,FALSE,3,54018
2020-08-25,"ARI","Gila",FALSE,FALSE,7,54018
2020-08-26,"ARI","Gila",FALSE,FALSE,0,54018
2020-08-27,"ARI","Gila",FALSE,FALSE,14,54018
2020-08-28,"ARI","Gila",FALSE,FALSE,6,54018
2020-08-29,"ARI","Gila",FALSE,FALSE,3,54018
2020-08-30,"ARI","Gila",FALSE,FALSE,2,54018
2020-08-31,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-01,"ARI","Gila",FALSE,FALSE,7,54018
2020-09-02,"ARI","Gila",FALSE,FALSE,4,54018
2020-09-03,"ARI","Gila",FALSE,FALSE,5,54018
2020-09-04,"ARI","Gila",FALSE,FALSE,3,54018
2020-09-05,"ARI","Gila",FALSE,FALSE,3,54018
2020-09-06,"ARI","Gila",FALSE,FALSE,3,54018
2020-09-07,"ARI","Gila",FALSE,FALSE,1,54018
2020-09-08,"ARI","Gila",FALSE,FALSE,2,54018
2020-09-09,"ARI","Gila",FALSE,FALSE,14,54018
2020-09-10,"ARI","Gila",FALSE,FALSE,6,54018
2020-09-11,"ARI","Gila",FALSE,FALSE,8,54018
2020-09-12,"ARI","Gila",FALSE,FALSE,5,54018
2020-09-13,"ARI","Gila",FALSE,FALSE,1,54018
2020-09-14,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-15,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-16,"ARI","Gila",FALSE,FALSE,8,54018
2020-09-17,"ARI","Gila",FALSE,FALSE,32,54018
2020-09-18,"ARI","Gila",FALSE,FALSE,9,54018
2020-09-19,"ARI","Gila",FALSE,FALSE,15,54018
2020-09-20,"ARI","Gila",FALSE,FALSE,1,54018
2020-09-21,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-22,"ARI","Gila",FALSE,FALSE,14,54018
2020-09-23,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-24,"ARI","Gila",FALSE,FALSE,23,54018
2020-09-25,"ARI","Gila",FALSE,FALSE,19,54018
2020-09-26,"ARI","Gila",FALSE,FALSE,17,54018
2020-09-27,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-28,"ARI","Gila",FALSE,FALSE,0,54018
2020-09-29,"ARI","Gila",FALSE,FALSE,25,54018
2020-09-30,"ARI","Gila",FALSE,FALSE,18,54018
2020-10-01,"ARI","Gila",FALSE,FALSE,26,54018
2020-10-02,"ARI","Gila",FALSE,FALSE,53,54018
2020-10-03,"ARI","Gila",FALSE,FALSE,19,54018
2020-10-04,"ARI","Gila",FALSE,FALSE,7,54018
2020-10-05,"ARI","Gila",FALSE,FALSE,0,54018
2020-10-06,"ARI","Gila",FALSE,FALSE,12,54018
2020-10-07,"ARI","Gila",FALSE,FALSE,5,54018
2020-10-08,"ARI","Gila",FALSE,FALSE,19,54018
2020-10-09,"ARI","Gila",FALSE,FALSE,13,54018
2020-10-10,"ARI","Gila",FALSE,FALSE,23,54018
2020-10-11,"ARI","Gila",FALSE,FALSE,2,54018
2020-10-12,"ARI","Gila",FALSE,FALSE,0,54018
2020-10-13,"ARI","Gila",FALSE,FALSE,12,54018
2020-10-14,"ARI","Gila",FALSE,FALSE,60,54018
2020-10-15,"ARI","Gila",FALSE,FALSE,36,54018
2020-10-16,"ARI","Gila",FALSE,FALSE,61,54018
