"observationDay","team","testedToday"
"2020-10-09","BAL",TRUE
"2020-10-10","BAL",TRUE
"2020-10-11","BAL",FALSE
"2020-10-12","BAL",TRUE
"2020-10-13","BAL",TRUE
"2020-10-14","BAL",TRUE
"2020-10-15","BAL",TRUE
"2020-10-16","BAL",TRUE
"2020-10-17","BAL",TRUE
"2020-10-18","BAL",TRUE
"2020-10-19","BAL",TRUE
"2020-10-20","BAL",TRUE
"2020-10-21","BAL",TRUE
"2020-10-22","BAL",TRUE
"2020-10-23","BAL",TRUE
"2020-10-24","BAL",TRUE
"2020-10-25","BAL",TRUE
"2020-10-26","BAL",TRUE
"2020-10-27","BAL",TRUE
"2020-10-28","BAL",TRUE
"2020-10-29","BAL",TRUE
"2020-10-30","BAL",TRUE
"2020-10-31","BAL",TRUE
"2020-11-01","BAL",TRUE
"2020-11-02","BAL",TRUE
"2020-11-03","BAL",TRUE
"2020-11-04","BAL",TRUE
"2020-11-05","BAL",TRUE
"2020-11-06","BAL",TRUE
"2020-11-07","BAL",TRUE
"2020-11-08","BAL",TRUE
"2020-11-09","BAL",TRUE
"2020-11-10","BAL",TRUE
"2020-11-11","BAL",TRUE
"2020-11-12","BAL",TRUE
"2020-11-13","BAL",TRUE
"2020-11-14","BAL",TRUE
"2020-11-15","BAL",TRUE
"2020-11-16","BAL",TRUE
"2020-11-17","BAL",TRUE
"2020-11-18","BAL",TRUE
"2020-11-19","BAL",TRUE
"2020-11-20","BAL",TRUE
"2020-11-21","BAL",TRUE
"2020-11-22","BAL",TRUE
"2020-11-23","BAL",TRUE
"2020-11-24","BAL",TRUE
"2020-11-25","BAL",TRUE
"2020-11-26","BAL",TRUE
"2020-11-27","BAL",TRUE
"2020-11-28","BAL",TRUE
"2020-11-29","BAL",TRUE
"2020-11-30","BAL",TRUE
"2020-12-01","BAL",TRUE
"2020-12-02","BAL",TRUE
"2020-12-03","BAL",TRUE
"2020-12-04","BAL",TRUE
"2020-12-05","BAL",TRUE
"2020-12-06","BAL",TRUE
"2020-12-07","BAL",TRUE
"2020-12-08","BAL",TRUE
"2020-12-09","BAL",TRUE
"2020-12-10","BAL",TRUE
"2020-12-11","BAL",TRUE
"2020-12-12","BAL",TRUE
"2020-12-13","BAL",TRUE
"2020-12-14","BAL",TRUE
"2020-12-15","BAL",TRUE
"2020-12-16","BAL",TRUE
"2020-12-17","BAL",TRUE
"2020-12-18","BAL",TRUE
"2020-12-19","BAL",TRUE
"2020-12-20","BAL",TRUE
"2020-12-21","BAL",TRUE
"2020-12-22","BAL",TRUE
"2020-12-23","BAL",TRUE
"2020-12-24","BAL",TRUE
"2020-12-25","BAL",TRUE
"2020-12-26","BAL",TRUE
"2020-12-27","BAL",TRUE
"2020-12-28","BAL",TRUE
"2020-12-29","BAL",TRUE
"2020-12-30","BAL",TRUE
"2020-12-31","BAL",TRUE
"2021-01-01","BAL",TRUE
"2021-01-02","BAL",TRUE
"2020-08-01","BUF",TRUE
"2020-08-02","BUF",TRUE
"2020-08-03","BUF",TRUE
"2020-08-04","BUF",TRUE
"2020-08-05","BUF",TRUE
"2020-08-06","BUF",TRUE
"2020-08-07","BUF",TRUE
"2020-08-08","BUF",TRUE
"2020-08-09","BUF",TRUE
"2020-08-10","BUF",TRUE
"2020-08-11","BUF",TRUE
"2020-08-12","BUF",TRUE
"2020-08-13","BUF",TRUE
"2020-08-14","BUF",TRUE
"2020-08-15","BUF",TRUE
"2020-08-16","BUF",TRUE
"2020-08-17","BUF",TRUE
"2020-08-18","BUF",TRUE
"2020-08-19","BUF",TRUE
"2020-08-20","BUF",TRUE
"2020-08-21","BUF",TRUE
"2020-08-22","BUF",TRUE
"2020-08-23","BUF",TRUE
"2020-08-24","BUF",TRUE
"2020-08-25","BUF",TRUE
"2020-08-26","BUF",TRUE
"2020-08-27","BUF",TRUE
"2020-08-28","BUF",TRUE
"2020-08-29","BUF",TRUE
